"Gene_symbol","PC_Direction","NASH_Direction"
"MICAL1","down","up"
"MICAL2","up","down"
"MICALL1","down","up"
"MIOS","up","down"
"MISP3","down","up"
"MLX","up","down"
"MMAA","up","down"
"MMP14","down","up"
"MMS19","up","down"
"MPO","up","down"
"MPST","up","down"
"MPZL2","down","up"
"MRAP2","down","up"
"MRAS","down","up"
"MS4A2","down","up"
"MSMO1","down","up"
"MSN","down","up"
"MT1F","up","down"
"MT1L","down","up"
"MTFR1","up","down"
"MTHFD1","up","down"
"MTMR11","down","up"
"MUC13","down","up"
"MUC6","up","down"
"MVD","down","up"
"MVP","down","up"
"MYBBP1A","up","down"
"MYL6","down","up"
"MYL6B","down","up"
"MYO15A","down","up"
"MYO1B","up","down"
"MYO1D","up","down"
"N4BP2","up","down"
"NAAA","up","down"
"NAPEPLD","up","down"
"NCCRP1","down","up"
"NCSTN","up","down"
"NDUFAF3","up","down"
"NDUFS2","up","down"
"NEGR1","down","up"
"NEIL1","up","down"
"NELL2","down","up"
"NES","down","up"
"NET1","up","down"
"NEU1","down","up"
"NEXN","down","up"
"NFATC4","down","up"
"NFKBID","down","up"
"NFRKB","up","down"
"NGFR","up","down"
"NGRN","down","up"
"NHSL1","up","down"
"NINJ1","up","down"
"NKAPL","down","up"
"NKD1","down","up"
"NOA1","up","down"
"NOL3","down","up"
"NONO","up","down"
"NOP14","up","down"
"NOS1","down","up"
"NOVA1","down","up"
"NOX5","down","up"
"NPRL3","up","down"
"NR2C2","up","down"
"NR6A1","down","up"
"NRG1","down","up"
"NRN1","up","down"
"NRP1","up","down"
"NRXN3","down","up"
"NSDHL","down","up"
"NSG1","down","up"
"NSUN2","up","down"
"NTAN1","down","up"
"NTNG2","down","up"
"NTRK3","down","up"
"NUDT4","up","down"
"NUDT9","up","down"
"NUMA1","up","down"
"NUPR1","up","down"
"NWD2","up","down"
"NXT2","up","down"
"OCLN","up","down"
"OGDHL","up","down"
"OGN","down","up"
"OGT","up","down"
"OPHN1","down","up"
"OPLAH","up","down"
"OPTN","down","up"
"OSBPL5","up","down"
"OSR1","down","up"
"OTUD4","up","down"
"OXA1L","up","down"
"P3H3","down","up"
"P4HA2","down","up"
"PABPC4","up","down"
"PAIP2B","up","down"
"PAK1IP1","down","up"
"PAK3","down","up"
"PAK5","down","up"
"PALM3","down","up"
"PAPLN","down","up"
"PAPPA","down","up"
"PAQR7","down","up"
"PARP1","up","down"
"PBLD","up","down"
"PCBP2","up","down"
"PCBP4","down","up"
"PCCB","up","down"
"PCDH1","up","down"
"PCDH11X","down","up"
"PCDHGA10","up","down"
"PCDHGA9","up","down"
"PCDHGB2","up","down"
"PCDHGB5","up","down"
"PCDHGB6","up","down"
"PCED1A","up","down"
"PCMTD2","up","down"
"PCNT","up","down"
"PCSK5","down","up"
"PCSK7","down","up"
"PCYT1B","down","up"
"PDCD11","up","down"
"PDE11A","down","up"
"PDIA5","up","down"
"PDLIM5","up","down"
"PDPN","down","up"
"PDS5A","up","down"
"PEBP4","down","up"
"PEG10","down","up"
"PELO","down","up"
"PEX10","up","down"
"PEX3","down","up"
"PFAS","up","down"
"PFKL","up","down"
"PGF","down","up"
"PGGHG","down","up"
"PHF12","up","down"
"PHF2","up","down"
"PHKA1","up","down"
"PHKA2","up","down"
"PHKB","up","down"
"PHLDA3","down","up"
"PHLDB3","up","down"
"PI16","down","up"
"PIEZO1","up","down"
"PIGO","up","down"
"PIGR","up","down"
