"Gene_symbol","PC_Direction","NAFLD_Direction"
"MAP1S","up","down"
"MAP7","up","down"
"MAPK4","down","up"
"MARCKSL1","up","down"
"MARCO","up","down"
"MARK2","up","down"
"MBP","up","down"
"MCCC1","up","down"
"MCCC2","up","down"
"MCF2L","up","down"
"MCTP1","up","down"
"MEAF6","down","up"
"MED23","up","down"
"MEG3","down","up"
"METTL21A","down","up"
"MFSD10","up","down"
"MFSD5","down","up"
"MGAT4C","down","up"
"MGC32805","down","up"
"MICAL2","up","down"
"MISP3","down","up"
"MPZL2","down","up"
"MRAS","down","up"
"MROH1","up","down"
"MS4A2","down","up"
"MSANTD4","down","up"
"MSLN","down","up"
"MSN","down","up"
"MSR1","up","down"
"MSRB2","down","up"
"MTHFD1","up","down"
"MVD","down","up"
"MVP","down","up"
"MYBBP1A","up","down"
"MYL6","down","up"
"MYL6B","down","up"
"MYO15A","down","up"
"MYO1D","up","down"
"MYSM1","up","down"
"NAAA","up","down"
"NAPEPLD","up","down"
"NCOA7","up","down"
"NDUFAF3","up","down"
"NDUFS2","up","down"
"NEGR1","down","up"
"NET1","up","down"
"NEU1","down","up"
"NFKBID","down","up"
"NGFR","up","down"
"NGRN","down","up"
"NHSL1","up","down"
"NKAPL","down","up"
"NKD1","down","up"
"NKIRAS1","down","up"
"NMT2","down","up"
"NONO","up","down"
"NOS1","down","up"
"NOVA1","down","up"
"NOX5","down","up"
"NPAS3","down","up"
"NPRL3","up","down"
"NR2C2","up","down"
"NRN1","up","down"
"NRP1","up","down"
"NSDHL","down","up"
"NSUN7","up","down"
"NTAN1","down","up"
"NTNG2","down","up"
"NTRK3","down","up"
"NUDT4","up","down"
"NUMA1","up","down"
"NXT2","up","down"
"OGDHL","up","down"
"OGT","up","down"
"OPHN1","down","up"
"OPLAH","up","down"
"OPTN","down","up"
"OSBPL5","up","down"
"OXA1L","up","down"
"P2RX4","up","down"
"P4HA2","down","up"
"PACS1","up","down"
"PAK1IP1","down","up"
"PALM3","down","up"
"PAQR7","down","up"
"PARP1","up","down"
"PCCB","up","down"
"PCDH1","up","down"
"PCDH11X","down","up"
"PCDHGA10","up","down"
"PCDHGA12","up","down"
