"Gene_symbol","PC_Direction","ALDhep_Direction"
"TWIST2","down","up"
"TWSG1","down","up"
"TXNDC16","up","down"
"TXNDC17","up","down"
"TXNL1","up","down"
"TXNL4A","up","down"
"TXNRD3","up","down"
"TYSND1","up","down"
"UAP1","up","down"
"UBA52","up","down"
"UBE2E3","up","down"
"UBE2G1","up","down"
"UBE2H","up","down"
"UBE2K","up","down"
"UBE2Q2P1","down","up"
"UBE2R2","up","down"
"UBXN8","up","down"
"UCHL5","up","down"
"UFC1","up","down"
"UFSP1","up","down"
"UGDH","up","down"
"UGGT1","up","down"
"UGT1A1","up","down"
"UGT1A3","up","down"
"UGT2B15","up","down"
"UGT2B4","up","down"
"UHRF2","down","up"
"UMPS","up","down"
"UNC13B","up","down"
"UNC5B","down","up"
"UNC5C","down","up"
"UNC93A","up","down"
"UNG","up","down"
"UNQ6494","up","down"
"UQCC2","up","down"
"UQCC3","up","down"
"UQCR11","up","down"
"UQCRB","up","down"
"UQCRC1","up","down"
"UQCRC2","up","down"
"UQCRFS1","up","down"
"UQCRH","up","down"
"UQCRQ","up","down"
"URI1","up","down"
"UROS","up","down"
"USF3","up","down"
"USP11","down","up"
"USP44","down","up"
"UTP15","up","down"
"UTP3","up","down"
"VAMP1","down","up"
"VANGL2","down","up"
"VBP1","up","down"
"VCP","up","down"
"VDAC1","up","down"
"VEGFC","down","up"
"VEPH1","down","up"
"VGLL3","down","up"
"VILL","down","up"
"VKORC1L1","up","down"
"VPS26B","up","down"
"VSIG2","down","up"
"VTCN1","down","up"
"VTI1B","up","down"
"WASL","up","down"
"WDR12","up","down"
"WDR3","up","down"
"WDR47","down","up"
"WDR55","up","down"
"WDR72","up","down"
"WDR91","down","up"
"WFDC2","down","up"
"WFS1","down","up"
"WIPF1","down","up"
"WIPF3","down","up"
"WNT10A","down","up"
"WNT2B","down","up"
"WRNIP1","up","down"
"WSB1","down","up"
"WWP1","up","down"
"WWTR1","down","up"
"XAF1","down","up"
"XBP1","up","down"
"XIAP","up","down"
"XKR4","down","up"
"XPNPEP3","up","down"
"XRCC5","up","down"
"XYLB","up","down"
"XYLT1","down","up"
"YBEY","up","down"
"YEATS4","up","down"
"YES1","up","down"
"YIF1A","up","down"
"YIPF1","up","down"
"YOD1","up","down"
"YTHDF2","up","down"
"YTHDF3-AS1","up","down"
"YWHAE","up","down"
"YWHAQ","up","down"
"ZBED1","up","down"
"ZBTB10","up","down"
"ZBTB18","up","down"
"ZBTB4","down","up"
"ZBTB47","down","up"
"ZC3H7B","up","down"
"ZCCHC9","up","down"
"ZCWPW2","down","up"
"ZDHHC1","down","up"
"ZDHHC15","down","up"
"ZDHHC9","up","down"
"ZEB2","down","up"
"ZFAND1","up","down"
"ZFAND4","up","down"
"ZKSCAN8","down","up"
"ZMPSTE24","up","down"
"ZNF154","down","up"
"ZNF160","down","up"
"ZNF185","down","up"
"ZNF22","up","down"
"ZNF24","up","down"
"ZNF25","down","up"
"ZNF252P","up","down"
"ZNF273","down","up"
"ZNF275","up","down"
"ZNF277","up","down"
"ZNF281","up","down"
"ZNF331","down","up"
"ZNF333","down","up"
"ZNF337","down","up"
"ZNF383","down","up"
"ZNF385A","down","up"
"ZNF385B","up","down"
"ZNF423","down","up"
"ZNF430","down","up"
"ZNF454","down","up"
"ZNF462","down","up"
"ZNF469","down","up"
"ZNF483","down","up"
"ZNF503-AS1","down","up"
"ZNF511","up","down"
"ZNF532","down","up"
"ZNF540","down","up"
"ZNF542P","up","down"
"ZNF587B","up","down"
"ZNF589","down","up"
"ZNF593","up","down"
"ZNF622","up","down"
"ZNF652","up","down"
"ZNF655","down","up"
"ZNF660","down","up"
"ZNF671","down","up"
"ZNF680","up","down"
"ZNF699","down","up"
"ZNF702P","down","up"
"ZNF711","down","up"
"ZNF727","down","up"
"ZNF770","up","down"
"ZNF781","down","up"
"ZNF804A","down","up"
"ZNF827","down","up"
"ZNF853","down","up"
"ZNF99","down","up"
"ZNHIT3","up","down"
"ZNRF2","up","down"
"ZSCAN18","down","up"
"ZW10","up","down"
"ZYX","down","up"
